event_id,user_id,event_date,event_type,plan,mrr_impact,cancel_reason
1,1,2025-10-16,trial_start,,0.0,
2,1,2025-10-23,trial_churn,,0.0,
3,2,2024-04-14,trial_start,,0.0,
4,2,2024-04-21,subscription_start,Premium,21.99,
5,2,2026-05-11,cancellation,Premium,-21.99,price
6,3,2024-08-26,trial_start,,0.0,
7,3,2024-09-02,trial_churn,,0.0,
8,4,2025-04-04,subscription_start,Premium,21.99,
9,4,2025-11-30,downgrade,Standard,15.99,
10,5,2024-12-14,trial_start,,0.0,
11,5,2024-12-21,trial_churn,,0.0,
12,6,2025-01-24,subscription_start,Basic,9.99,
13,7,2026-01-17,trial_start,,0.0,
14,7,2026-01-24,trial_churn,,0.0,
15,8,2024-10-27,trial_start,,0.0,
16,8,2024-11-03,subscription_start,Standard,15.99,
17,8,2025-02-01,cancellation,Standard,-15.99,price
18,8,2025-07-17,reactivation,Premium,21.99,
19,8,2025-11-14,cancellation,Premium,-21.99,found_alternative
20,8,2026-03-24,reactivation,Premium,21.99,
21,9,2024-03-12,subscription_start,Standard,15.99,
22,10,2026-06-06,trial_start,,0.0,
23,10,2026-06-13,trial_churn,,0.0,
24,11,2024-12-29,trial_start,,0.0,
25,11,2025-01-05,trial_churn,,0.0,
26,12,2024-06-24,trial_start,,0.0,
27,12,2024-07-01,subscription_start,Premium,21.99,
28,12,2025-10-24,downgrade,Basic,9.99,
29,12,2026-04-22,cancellation,Basic,-9.99,price
30,13,2025-10-17,trial_start,,0.0,
31,13,2025-10-24,subscription_start,Standard,15.99,
32,13,2025-11-23,cancellation,Standard,-15.99,price
33,13,2026-02-18,reactivation,Premium,21.99,
34,13,2026-04-19,cancellation,Premium,-21.99,not_using
35,14,2024-02-02,subscription_start,Basic,9.99,
36,14,2024-08-30,cancellation,Basic,-9.99,price
37,15,2024-11-18,trial_start,,0.0,
38,15,2024-11-25,trial_churn,,0.0,
39,16,2024-05-22,trial_start,,0.0,
40,16,2024-05-29,subscription_start,Standard,15.99,
41,16,2025-11-20,cancellation,Standard,-15.99,price
42,17,2025-08-20,trial_start,,0.0,
43,17,2025-08-27,trial_churn,,0.0,
44,18,2024-04-03,subscription_start,Standard,15.99,
45,18,2025-07-27,downgrade,Basic,9.99,
46,18,2026-01-23,cancellation,Basic,-9.99,price
47,19,2025-03-08,trial_start,,0.0,
48,19,2025-03-15,trial_churn,,0.0,
49,20,2025-07-20,subscription_start,Standard,15.99,
50,21,2026-02-26,trial_start,,0.0,
51,21,2026-03-05,trial_churn,,0.0,
52,22,2026-01-09,subscription_start,Standard,15.99,
53,22,2026-03-10,upgrade,Premium,21.99,
54,23,2026-06-10,trial_start,,0.0,
55,23,2026-06-17,subscription_start,Basic,9.99,
56,24,2025-01-17,subscription_start,Premium,21.99,
57,24,2025-11-13,cancellation,Premium,-21.99,not_using
58,25,2025-09-05,subscription_start,Basic,9.99,
59,26,2026-05-01,subscription_start,Basic,9.99,
60,27,2024-03-28,subscription_start,Standard,15.99,
61,27,2024-06-26,downgrade,Basic,9.99,
62,27,2024-06-26,cancellation,Basic,-9.99,content_dissatisfaction
63,28,2024-05-11,subscription_start,Standard,15.99,
64,28,2025-11-02,cancellation,Standard,-15.99,price
65,29,2025-03-09,subscription_start,Standard,15.99,
66,29,2025-09-05,downgrade,Basic,9.99,
67,29,2026-03-04,cancellation,Basic,-9.99,price
68,30,2025-02-12,trial_start,,0.0,
69,30,2025-02-19,subscription_start,Standard,15.99,
70,30,2025-11-16,cancellation,Standard,-15.99,not_using
71,31,2024-08-18,trial_start,,0.0,
72,31,2024-08-25,trial_churn,,0.0,
73,32,2024-01-08,subscription_start,Standard,15.99,
74,33,2026-05-30,trial_start,,0.0,
75,33,2026-06-06,subscription_start,Standard,15.99,
76,34,2024-05-15,subscription_start,Family,27.99,
77,34,2025-06-09,downgrade,Premium,21.99,
78,34,2025-12-06,cancellation,Premium,-21.99,technical_issues
79,34,2026-02-13,reactivation,Basic,9.99,
80,35,2024-07-13,trial_start,,0.0,
81,35,2024-07-20,subscription_start,Standard,15.99,
82,35,2026-02-10,upgrade,Family,27.99,
83,36,2026-06-03,trial_start,,0.0,
84,36,2026-06-10,subscription_start,Premium,21.99,
85,37,2026-01-15,trial_start,,0.0,
86,37,2026-01-22,trial_churn,,0.0,
87,38,2025-04-04,subscription_start,Basic,9.99,
88,38,2025-09-01,cancellation,Basic,-9.99,content_dissatisfaction
89,39,2024-03-18,trial_start,,0.0,
90,39,2024-03-25,subscription_start,Standard,15.99,
91,39,2024-05-24,upgrade,Premium,21.99,
92,39,2024-12-20,cancellation,Premium,-21.99,technical_issues
93,40,2025-07-07,trial_start,,0.0,
94,40,2025-07-14,subscription_start,Standard,15.99,
95,40,2026-04-10,downgrade,Basic,9.99,
96,41,2025-05-12,trial_start,,0.0,
97,41,2025-05-19,subscription_start,Standard,15.99,
98,41,2026-04-14,cancellation,Standard,-15.99,price
99,42,2024-01-03,trial_start,,0.0,
100,42,2024-01-10,trial_churn,,0.0,
101,43,2025-12-14,trial_start,,0.0,
102,43,2025-12-21,subscription_start,Basic,9.99,
103,44,2024-02-29,trial_start,,0.0,
104,44,2024-03-07,subscription_start,Premium,21.99,
105,44,2024-08-04,upgrade,Family,27.99,
106,44,2024-10-03,downgrade,Basic,9.99,
107,44,2025-03-02,upgrade,Premium,21.99,
108,44,2026-03-27,downgrade,Standard,15.99,
109,45,2025-08-21,trial_start,,0.0,
110,45,2025-08-28,subscription_start,Standard,15.99,
111,46,2025-06-04,subscription_start,Basic,9.99,
112,47,2024-08-28,trial_start,,0.0,
113,47,2024-09-04,subscription_start,Standard,15.99,
114,47,2025-01-02,upgrade,Family,27.99,
115,47,2025-06-01,cancellation,Family,-27.99,content_dissatisfaction
116,48,2024-02-10,trial_start,,0.0,
117,48,2024-02-17,trial_churn,,0.0,
118,49,2024-09-24,trial_start,,0.0,
119,49,2024-10-01,subscription_start,Premium,21.99,
120,49,2025-08-27,downgrade,Standard,15.99,
121,49,2025-10-26,cancellation,Standard,-15.99,not_using
122,50,2025-11-18,trial_start,,0.0,
123,50,2025-11-25,trial_churn,,0.0,
124,51,2025-09-28,trial_start,,0.0,
125,51,2025-10-05,trial_churn,,0.0,
126,52,2024-05-15,trial_start,,0.0,
127,52,2024-05-22,subscription_start,Basic,9.99,
128,52,2026-06-11,cancellation,Basic,-9.99,price
129,53,2025-03-24,trial_start,,0.0,
130,53,2025-03-31,trial_churn,,0.0,
131,54,2026-04-16,trial_start,,0.0,
132,54,2026-04-23,subscription_start,Basic,9.99,
133,55,2024-04-19,subscription_start,Basic,9.99,
134,55,2024-09-16,cancellation,Basic,-9.99,found_alternative
135,56,2024-07-27,subscription_start,Premium,21.99,
136,56,2025-05-23,cancellation,Premium,-21.99,moved_competitor
137,57,2026-05-16,trial_start,,0.0,
138,57,2026-05-23,subscription_start,Standard,15.99,
139,57,2026-06-22,cancellation,Standard,-15.99,content_dissatisfaction
140,58,2024-12-07,trial_start,,0.0,
141,58,2024-12-14,subscription_start,Premium,21.99,
142,59,2025-03-13,trial_start,,0.0,
143,59,2025-03-20,trial_churn,,0.0,
144,60,2026-05-04,trial_start,,0.0,
