usage_id,user_id,session_date,device,genre,watch_minutes,completed_content
1,1,2026-02-17,iOS,true_crime,28,True
2,1,2026-06-02,Android,comedy,34,True
3,1,2026-02-01,SmartTV,comedy,23,False
4,1,2026-05-15,SmartTV,reality,115,True
5,1,2026-03-04,Web,comedy,42,True
6,1,2026-01-19,SmartTV,anime,7,True
7,1,2025-12-31,Web,sci_fi,24,False
8,1,2026-01-23,SmartTV,reality,99,True
9,1,2026-05-31,iOS,sci_fi,50,True
10,1,2026-03-19,Roku,documentary,18,True
11,1,2026-06-01,SmartTV,true_crime,19,False
12,1,2026-04-05,iOS,kids,113,True
13,1,2026-05-27,Roku,anime,38,True
14,1,2026-01-03,SmartTV,drama,60,False
15,1,2026-04-26,SmartTV,reality,48,False
16,1,2025-11-17,Roku,documentary,5,False
17,1,2025-12-29,Android,anime,22,True
18,1,2026-06-24,Android,drama,7,True
19,1,2026-01-30,Web,drama,6,False
20,1,2025-11-17,Roku,reality,48,True
21,1,2026-03-19,Android,drama,79,False
22,1,2026-04-02,Roku,reality,37,False
23,1,2026-03-31,Web,sci_fi,22,True
24,1,2025-10-17,Web,kids,7,True
25,1,2025-12-22,SmartTV,anime,22,False
26,1,2026-02-28,SmartTV,true_crime,18,True
27,1,2025-11-03,SmartTV,kids,25,True
28,2,2024-12-30,iOS,drama,57,True
29,2,2024-07-13,iOS,kids,24,True
30,2,2024-12-26,iOS,comedy,54,True
31,2,2025-10-07,Web,reality,24,True
32,2,2024-07-27,Android,kids,6,False
33,2,2025-03-07,Android,documentary,4,False
34,2,2025-09-09,SmartTV,reality,33,False
35,2,2024-11-10,iOS,anime,72,True
36,2,2024-11-10,iOS,drama,9,True
37,2,2025-09-14,SmartTV,drama,93,True
38,2,2024-09-16,Roku,comedy,35,True
39,2,2025-04-07,Web,reality,80,True
40,2,2024-05-06,Android,sci_fi,19,True
41,2,2024-10-16,iOS,anime,21,True
42,2,2025-09-12,iOS,anime,23,False
43,2,2024-04-21,Web,comedy,1,True
44,3,2024-11-12,Roku,documentary,49,False
45,3,2025-01-16,Web,kids,12,False
46,3,2025-03-20,iOS,anime,68,False
47,3,2025-04-28,Roku,documentary,66,True
48,3,2025-05-07,Android,reality,51,True
49,3,2025-08-21,Android,reality,56,True
50,3,2025-10-24,Web,drama,30,True
51,3,2025-01-23,Android,reality,19,True
52,3,2025-01-15,Android,reality,52,False
53,3,2025-12-23,iOS,drama,74,True
54,3,2025-08-26,Roku,sci_fi,82,True
55,3,2024-08-29,iOS,documentary,33,True
56,3,2026-02-12,SmartTV,sci_fi,47,False
57,3,2025-03-22,Android,true_crime,73,False
58,3,2025-04-19,Web,anime,39,True
59,3,2025-07-19,SmartTV,drama,66,False
60,3,2025-06-26,Android,comedy,22,False
61,3,2025-04-15,Web,reality,56,False
62,3,2025-08-04,Web,comedy,59,True
63,3,2025-01-19,iOS,kids,25,False
64,3,2026-01-24,Web,comedy,100,True
65,3,2025-04-10,Android,true_crime,33,False
66,3,2025-03-22,iOS,kids,95,True
67,3,2025-09-08,iOS,drama,61,True
68,3,2025-06-10,SmartTV,anime,88,True
69,3,2025-11-28,SmartTV,drama,34,False
70,3,2025-05-30,iOS,comedy,31,False
71,4,2026-03-31,Android,true_crime,76,False
72,4,2026-02-20,SmartTV,comedy,101,True
73,4,2026-06-09,SmartTV,reality,19,False
74,4,2025-10-12,Web,comedy,71,True
75,4,2026-04-18,Android,drama,95,False
76,4,2025-05-09,Web,kids,34,False
77,4,2026-01-31,Roku,true_crime,51,True
78,4,2026-03-04,SmartTV,true_crime,4,False
79,4,2025-10-14,Roku,anime,40,False
80,4,2025-04-27,Web,anime,39,False
81,4,2026-06-24,Web,true_crime,84,False
82,4,2025-10-10,iOS,sci_fi,1,False
83,4,2025-10-17,Android,drama,68,True
84,4,2026-06-29,Web,reality,45,True
85,4,2026-04-09,Android,reality,7,True
86,4,2025-06-09,SmartTV,comedy,57,True
87,4,2025-11-14,iOS,drama,48,False
88,4,2026-05-13,SmartTV,drama,40,True
89,4,2025-05-09,Roku,comedy,38,False
90,4,2025-04-29,Android,documentary,83,True
91,4,2025-10-29,Roku,sci_fi,17,True
92,5,2026-05-05,iOS,anime,40,False
93,5,2026-04-03,iOS,comedy,33,True
94,5,2026-02-25,Roku,reality,11,True
95,5,2025-01-12,Roku,kids,4,True
96,5,2025-04-08,Android,documentary,58,True
97,5,2025-04-16,Roku,sci_fi,29,False
98,5,2025-06-10,iOS,drama,61,True
99,5,2025-04-02,Roku,reality,21,False
100,5,2025-06-25,Roku,comedy,49,True
101,5,2025-04-09,SmartTV,anime,41,True
102,5,2025-08-15,Roku,kids,21,False
103,5,2025-10-24,Roku,sci_fi,16,False
104,5,2025-06-13,Android,drama,38,False
