user_id,signup_date,acquisition_channel,country,primary_device,had_trial
1,2025-10-16,organic_search,BR,Android,True
2,2024-04-14,organic_search,US,iOS,True
3,2024-08-26,influencer,US,Roku,True
4,2025-04-04,paid_social,AR,Android,False
5,2024-12-14,organic_search,CO,Web,True
6,2025-01-24,paid_social,BR,Web,False
7,2026-01-17,referral,CO,SmartTV,True
8,2024-10-27,influencer,AR,Roku,True
9,2024-03-12,influencer,PT,iOS,False
10,2026-06-06,paid_social,US,Web,True
11,2024-12-29,influencer,MX,iOS,True
12,2024-06-24,email_campaign,BR,SmartTV,True
13,2025-10-17,organic_search,BR,iOS,True
14,2024-02-02,paid_social,BR,Roku,False
15,2024-11-18,influencer,BR,SmartTV,True
16,2024-05-22,email_campaign,US,Roku,True
17,2025-08-20,paid_social,CO,Android,True
18,2024-04-03,affiliate,BR,Android,False
19,2025-03-08,organic_search,BR,SmartTV,True
20,2025-07-20,influencer,BR,Roku,False
21,2026-02-26,paid_social,BR,Android,True
22,2026-01-09,direct,PT,Roku,False
23,2026-06-10,paid_social,MX,Roku,True
24,2025-01-17,referral,PT,Roku,False
25,2025-09-05,referral,BR,Web,False
26,2026-05-01,organic_search,BR,Roku,False
27,2024-03-28,affiliate,CO,Roku,False
28,2024-05-11,direct,BR,Roku,False
29,2025-03-09,,PT,Android,False
30,2025-02-12,paid_social,AR,SmartTV,True
31,2024-08-18,paid_social,US,Android,True
32,2024-01-08,email_campaign,BR,iOS,False
33,2026-05-30,organic_search,BR,SmartTV,True
34,2024-05-15,referral,BR,SmartTV,False
35,2024-07-13,organic_search,US,SmartTV,True
36,2026-06-03,influencer,CO,iOS,True
37,2026-01-15,affiliate,BR,Android,True
38,2025-04-04,paid_social,BR,Android,False
39,2024-03-18,affiliate,AR,iOS,True
40,2025-07-07,direct,CO,Android,True
41,2025-05-12,organic_search,US,iOS,True
42,2024-01-03,paid_social,PT,SmartTV,True
43,2025-12-14,influencer,US,Android,True
44,2024-02-29,email_campaign,BR,Web,True
45,2025-08-21,referral,AR,Android,True
46,2025-06-04,affiliate,BR,iOS,False
47,2024-08-28,organic_search,AR,Android,True
48,2024-02-10,organic_search,MX,Roku,True
49,2024-09-24,influencer,BR,Web,True
50,2025-11-18,paid_social,BR,iOS,True
51,2025-09-28,direct,BR,Android,True
52,2024-05-15,direct,AR,Web,True
53,2025-03-24,email_campaign,MX,Roku,True
54,2026-04-16,,MX,Android,True
55,2024-04-19,organic_search,BR,Android,False
56,2024-07-27,affiliate,US,Web,False
57,2026-05-16,organic_search,US,Web,True
58,2024-12-07,influencer,BR,SmartTV,True
59,2025-03-13,organic_search,BR,Android,True
60,2026-05-04,referral,BR,Android,True
61,2025-01-08,direct,BR,Android,False
62,2024-12-28,direct,US,Roku,False
63,2024-08-30,direct,PT,SmartTV,True
64,2026-01-24,email_campaign,US,Android,True
65,2026-03-17,paid_social,BR,SmartTV,True
66,2026-04-16,paid_social,AR,Android,True
67,2025-11-06,paid_social,BR,iOS,False
68,2024-10-12,influencer,BR,Roku,True
69,2024-01-29,,BR,Roku,False
70,2024-09-28,organic_search,US,Web,True
71,2025-06-07,paid_social,US,Web,True
72,2025-03-22,referral,PT,Android,True
73,2024-03-12,influencer,MX,iOS,False
74,2024-11-03,paid_social,US,SmartTV,False
75,2025-07-21,organic_search,MX,SmartTV,False
76,2024-06-27,referral,US,iOS,True
77,2024-08-03,email_campaign,MX,Web,True
78,2025-03-28,referral,PT,Android,False
79,2024-10-17,influencer,MX,iOS,False
80,2026-02-08,influencer,BR,Android,True
81,2024-02-17,direct,MX,iOS,True
82,2026-06-26,referral,MX,SmartTV,True
83,2024-09-06,influencer,BR,iOS,False
84,2024-08-12,affiliate,MX,SmartTV,True
85,2024-09-12,referral,PT,Roku,False
86,2025-09-01,direct,AR,Roku,False
87,2025-05-31,affiliate,US,Android,False
88,2025-05-01,paid_social,BR,Web,False
89,2025-06-17,influencer,BR,iOS,False
90,2024-08-28,paid_social,AR,iOS,True
91,2024-08-24,,MX,iOS,True
92,2024-12-04,referral,BR,SmartTV,True
93,2026-02-27,direct,BR,Roku,True
94,2024-01-07,paid_social,BR,SmartTV,True
95,2026-01-22,email_campaign,AR,SmartTV,True
96,2025-03-22,organic_search,BR,SmartTV,False
97,2026-05-10,direct,CO,Roku,True
98,2025-02-07,referral,BR,SmartTV,True
99,2025-04-17,organic_search,BR,Android,True
100,2024-12-11,paid_social,CO,SmartTV,True
101,2024-03-24,organic_search,US,Web,True
102,2024-03-11,organic_search,BR,Android,True
103,2024-01-21,organic_search,BR,iOS,True
104,2024-08-11,influencer,PT,Android,True
105,2026-02-04,email_campaign,BR,Web,True
106,2024-01-27,referral,AR,SmartTV,True
107,2026-01-02,organic_search,MX,Android,True
108,2026-03-02,affiliate,MX,iOS,False
109,2025-08-02,paid_social,US,Web,True
110,2025-10-25,organic_search,US,SmartTV,True
111,2025-01-05,direct,US,Android,True
112,2026-01-21,direct,BR,Roku,False
113,2025-04-21,affiliate,US,Web,False
114,2026-04-30,paid_social,US,SmartTV,True
115,2025-11-15,paid_social,US,Web,True
116,2024-08-05,email_campaign,BR,Roku,False
117,2024-10-09,organic_search,CO,iOS,True
118,2025-02-20,referral,BR,SmartTV,True
119,2025-05-17,email_campaign,BR,Android,True
120,2024-09-06,influencer,BR,Roku,True
121,2025-03-11,paid_social,MX,Web,True
122,2024-08-24,email_campaign,BR,Roku,False
123,2025-12-07,organic_search,PT,Web,False
124,2026-02-17,referral,CO,Android,True
125,2025-01-04,paid_social,MX,Android,True
126,2024-02-25,paid_social,CO,SmartTV,True
127,2024-01-13,paid_social,US,Web,True
128,2024-02-22,direct,US,iOS,True
129,2024-03-16,influencer,BR,Android,False
130,2024-11-07,direct,BR,SmartTV,True
131,2026-03-20,organic_search,US,SmartTV,False
132,2024-10-31,direct,BR,Roku,True
133,2026-01-27,direct,BR,Android,True
134,2024-03-24,organic_search,US,Android,True
135,2025-04-06,referral,BR,Web,False
136,2025-12-20,organic_search,BR,Web,False
137,2025-10-02,influencer,CO,SmartTV,True
138,2024-08-18,organic_search,BR,Android,True
139,2024-06-18,referral,AR,Web,True
140,2025-04-24,influencer,CO,Roku,True
141,2025-03-24,referral,AR,Web,True
142,2024-01-27,organic_search,MX,Roku,True
143,2024-01-22,referral,PT,Android,True
144,2025-10-29,direct,BR,Roku,True
145,2026-04-13,direct,US,SmartTV,True
146,2025-11-17,affiliate,BR,SmartTV,True
147,2025-02-14,organic_search,BR,Web,True
148,2026-03-02,affiliate,AR,iOS,False
149,2025-07-09,paid_social,BR,Web,True
150,2025-05-25,paid_social,BR,Web,True
151,2024-10-21,direct,US,iOS,False
152,2025-09-15,email_campaign,BR,iOS,True
